customer_id,customer_name,email,age,gender,location,signup_date,last_purchase_date,total_orders,total_spent,avg_order_value,preferred_payment_method,payment_failures,loyalty_tier,churn_risk
CUST0001,Samantha Davis,samantha.davis13@yahoo.com,30,Male,"El Paso, TX",2025-01-21,2025-05-22,5,137.25,29.98,Google Pay,0,Bronze,High
CUST0002,Brenda Gonzalez,brenda.gonzalez93@yahoo.com,50,Non-binary,"Dallas, TX",2022-01-14,2026-06-11,55,7633.04,154.78,PayPal,0,Gold,Low
CUST0003,Elizabeth Harris,elizabeth.harris22@gmail.com,44,Non-binary,"Dallas, TX",2022-03-30,2026-05-18,16,6308.47,409.19,Google Pay,2,Gold,Low
CUST0004,Benjamin Flores,benjamin.flores56@outlook.com,24,Female,"Atlanta, GA",2023-08-16,2026-04-28,30,10594.68,366.33,Apple Pay,2,Platinum,Low
CUST0005,Christopher White,christopher.white55@gmail.com,39,Male,"Nashville, TN",2022-12-17,2026-03-23,21,3985.01,203.83,Buy Now Pay Later,1,Gold,Medium
CUST0006,Debra Lee,debra.lee17@gmail.com,24,Male,"Fort Worth, TX",2023-07-03,2025-03-09,41,4241.7,103.48,Buy Now Pay Later,7,Gold,High
CUST0007,Charles Taylor,charles.taylor27@gmail.com,57,Non-binary,"Dallas, TX",2025-04-12,2026-02-08,52,9771.67,163.52,Debit Card,3,Platinum,Medium
CUST0008,Elizabeth Carter,elizabeth.carter16@yahoo.com,32,Female,"Nashville, TN",2022-05-11,2026-02-06,60,15798.2,230.7,Credit Card,0,Platinum,Medium
CUST0009,Debra Wright,debra.wright44@yahoo.com,40,Female,"Philadelphia, PA",2024-07-18,2025-08-12,65,21128.73,324.31,Credit Card,4,Platinum,High
CUST0010,Samantha Allen,samantha.allen87@gmail.com,45,Female,"Seattle, WA",2024-12-22,2026-05-14,42,7957.03,214.42,PayPal,2,Gold,Low
CUST0011,Donald Brown,donald.brown40@outlook.com,27,Female,"Chicago, IL",2024-12-26,2026-06-13,85,18035.6,209.06,PayPal,3,Platinum,Low
CUST0012,Margaret Wright,margaret.wright98@gmail.com,41,Female,"El Paso, TX",2024-02-04,2026-02-16,58,3545.9,66.64,PayPal,0,Gold,Medium
CUST0013,Emma Scott,emma.scott39@yahoo.com,62,Male,"San Diego, CA",2022-05-19,2026-04-27,43,1841.55,46.48,Buy Now Pay Later,3,Silver,Low
CUST0014,Thomas Campbell,thomas.campbell83@yahoo.com,52,Female,"San Antonio, TX",2022-07-13,2025-05-18,46,8575.2,188.28,Buy Now Pay Later,0,Platinum,High
CUST0015,Gregory Adams,gregory.adams92@gmail.com,47,Male,"Houston, TX",2023-05-25,2025-03-25,58,3902.83,74.35,Apple Pay,3,Gold,High
CUST0016,Barbara Lewis,barbara.lewis80@gmail.com,63,Non-binary,"New York, NY",2022-07-11,2026-04-28,31,2619.33,84.86,Debit Card,3,Silver,Low
CUST0017,Linda Hernandez,linda.hernandez58@gmail.com,46,Male,"Charlotte, NC",2023-08-08,2026-01-20,72,20371.26,284.07,Debit Card,2,Platinum,Medium
CUST0018,Margaret Brown,margaret.brown84@yahoo.com,42,Male,"Los Angeles, CA",2025-04-11,2025-12-27,68,6291.84,81.29,Credit Card,1,Gold,Medium
CUST0019,William Hill,william.hill18@yahoo.com,29,Non-binary,"San Diego, CA",2025-03-31,2026-05-13,11,2103.33,186.53,Google Pay,2,Silver,Low
CUST0020,Dorothy Wilson,dorothy.wilson95@yahoo.com,47,Female,"El Paso, TX",2023-09-07,2025-12-26,10,225.3,21.74,Google Pay,0,Bronze,Medium
CUST0021,Barbara Wright,barbara.wright37@yahoo.com,44,Male,"San Diego, CA",2024-01-27,2026-02-26,70,21762.89,300.82,Buy Now Pay Later,0,Platinum,Medium
CUST0022,Christine Scott,christine.scott48@yahoo.com,30,Male,"Houston, TX",2022-08-08,2026-06-12,35,4195.6,131.27,PayPal,1,Gold,Low
CUST0023,Debra Green,debra.green43@yahoo.com,25,Male,"Oklahoma City, OK",2024-05-17,2026-06-19,1,135.25,152.09,PayPal,1,Bronze,Low
CUST0024,Jeffrey Scott,jeffrey.scott64@yahoo.com,31,Non-binary,"Los Angeles, CA",2024-01-27,2026-06-12,56,3653.87,69.23,Credit Card,2,Gold,Low
